id,name,description,best_label,salty,umami,sweet,sour,bitter
31,Mayonnaise,"A thick, cold, and creamy sauce or dressing commonly used on sandwiches and composed salads, made from oil, egg yolk, and an acid.",sour,0.03,0.1025,0.06,0.225,0.055
32,Mustard,"A condiment made from whole, ground, or cracked mustard seeds, mixed with water, vinegar, or other liquids.",sour,0.06,0.1881,0.17009999999999997,0.4962,0.4068
33,Onion,"A vegetable that is the most widely cultivated species of the genus Allium, known for its pungent and sharp flavor.",sweet,0.0,0.128,0.308,0.1,0.25
34,Orange Juice,"The liquid extract of the fruit of the orange tree, produced by squeezing or reaming oranges.",sweet,0.00285,0.0861,0.33475,0.23759999999999998,0.27555
35,Peanut Butter,"A food paste or spread made from ground, dry-roasted peanuts.",sweet,0.19,0.2975,0.475,0.12,0.215
36,Popcorn,A variety of corn kernel which expands and puffs up when heated.,sweet,0.0,0.18000000000000002,0.54,0.09000000000000001,0.09000000000000001
37,Quinoa,A flowering plant in the amaranth family. It is a herbaceous annual plant grown as a crop primarily for its edible seeds.,bitter,0.0,0.1228,0.3447,0.1403,0.35090000000000005
38,Raspberry,"An edible soft fruit, consisting of a cluster of reddish-pink drupelets.",sweet,0.0038,0.12484999999999999,0.3553,0.1523,0.29055
39,Rice (White),"The polished seed of the grass species Oryza sativa. As a cereal grain, it is the most widely consumed staple food for a large part of the world's human population.",sweet,0.0,0.2025,0.38,0.025,0.025
40,Sauerkraut,"Finely cut raw cabbage that has been fermented by various lactic acid bacteria, with a distinct sour flavor.",sour,0.09000000000000001,0.29500000000000004,0.18000000000000002,0.68,0.23000000000000004
41,Shrimp,"Decapod crustaceans with elongated bodies, commonly used in cooking and known for their mildly sweet and savory flavor.",umami,0.0,0.38205,0.3078,0.17509999999999998,0.22544999999999998
42,Spinach,"A leafy green flowering plant native to central and western Asia, with a mild, slightly earthy taste.",sweet,0.0057,0.10939999999999998,0.30495,0.14279999999999998,0.3024
43,Strawberry,"A widely grown hybrid species of the genus Fragaria, known for its characteristic aroma, bright red color, juicy texture, and sweetness.",sweet,0.0,0.1275,0.3681,0.18300000000000002,0.21539999999999998
44,Sweet Potato,"A large, starchy, sweet-tasting, tuberous root vegetable.",sweet,0.095,0.2,0.76,0.115,0.115
45,Tuna (Canned),"A saltwater fish that belongs to the mackerel family, preserved in a can, often in oil or water.",umami,0.08000000000000002,0.5724999999999999,0.16000000000000003,0.10500000000000001,0.10500000000000001
46,Turkey (Roasted),"The meat from a large bird, especially one that is raised for food, cooked with dry heat in an oven.",bitter,0.010000000000000002,0.3102,0.10439999999999999,0.258,0.32520000000000004
47,Watermelon,"A large fruit of a plant of the gourd family, with smooth green skin, reddish pulp, and watery juice.",sweet,0.0,0.10300000000000001,0.76,0.21500000000000002,0.016
48,Cilantro,"An annual herb in the family Apiaceae. All parts of the plant are edible, but the fresh leaves and the dried seeds are the parts most traditionally used in cooking.",bitter,0.0,0.20000000000000007,0.10000000000000003,0.30000000000000004,0.40000000000000013
49,Anchovies,"A small, common forage fish of the family Engraulidae, often salt-cured and packed in oil.",salty,0.7200000000000001,0.6400000000000001,0.08000000000000002,0.08000000000000002,0.16000000000000003
50,Chickpeas,"An annual legume of the family Fabaceae, also known as garbanzo bean, with a nutty taste and granular texture.",umami,0.095,0.3925,0.285,0.12,0.12
